,_id,player,manager,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp,count(manager)
112,6193c0a3d4e110bca6418a72,Jon-Moncayola,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
113,6193c0a3d4e110bca6418a73,Marko-Milinkovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0
114,6193c0a3d4e110bca6418a74,Javier-Mier,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
115,6193c0a3d4e110bca6418a75,Reegan-Mimnaugh,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
116,6193c0a3d4e110bca6418a76,Erik-Moran,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,6193c0a3d4e110bca6418a77,Luke-Montebello,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118,6193c0a3d4e110bca6418a78,Thamsanqa-Mkhize,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119,6193c0a3d4e110bca6418a79,Vincenzo-Millico,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120,6193c0a3d4e110bca6418a7a,Brede-Moe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0
121,6193c0a3d4e110bca6418a7b,Ivan-Milosavljevic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,6193c0a3d4e110bca6418a7c,Valeria-Monterubbiano,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
123,6193c0a3d4e110bca6418a7d,Aleksandar-Mitrovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0
124,6193c0a3d4e110bca6418a7e,Adrian-Mora,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
125,6193c0a3d4e110bca6418a7f,Siphesihle-Mkhize,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
126,6193c0a3d4e110bca6418a80,Dorde-Milovanovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
