Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Alija Besic,540,0.0,0.0,0.0,Luxembourg,2006, WCQ — UEFA (M)
Domingos Chan,180,0.0,0.0,0.0,Macau,2006, WCQ — AFC (M)
Mohd Syamsuri Mustafa,270,0.0,0.0,0.0,Malaysia,2006, WCQ — AFC (M)
Mohamed Imran,720,50.0,0.0,0.0,Maldives,2006, WCQ — AFC (M)
Justin Haber,720,12.5,0.0,0.0,Malta,2006, WCQ — UEFA (M)
Oswaldo Sanchez,390,25.0,0.0,0.0,Mexico,2006, FIFA World Cup
Evgheni Hmaruc,810,22.2,0.0,0.0,Moldova,2006, WCQ — UEFA (M)
Jargalsaikhany Enkhbayar,106,0.0,0.0,0.0,Mongolia,2006, WCQ — AFC (M)
Kurt Joyce,155,0.0,0.0,0.0,Montserrat,2006, WCQ — CONCACAF (M)
Edwin van der Sar,360,50.0,0.0,0.0,Netherlands,2006, FIFA World Cup
Sergio Chamorro,180,0.0,0.0,0.0,Nicaragua,2006, WCQ — CONCACAF (M)
Petar Milosevski,540,50.0,0.0,0.0,North,2006, WCQ — UEFA (M)
Maik Taylor,810,33.3,0.0,0.0,Northern,2006, WCQ — UEFA (M)
Thomas Myhre,990,54.5,0.0,0.0,Norway,2006, WCQ — UEFA (M)
Ali Al-Habsi,360,50.0,0.0,0.0,Oman,2006, WCQ — AFC (M)
Jaffar Khan,180,0.0,0.0,0.0,Pakistan,2006, WCQ — AFC (M)
Ramzi Saleh,360,25.0,0.0,0.0,Palestine,2006, WCQ — AFC (M)
Jaime Penedo,720,0.0,0.0,0.0,Panama,2006, WCQ — CONCACAF (M)
Aldo Bobadilla,262,50.0,0.0,0.0,Paraguay,2006, FIFA World Cup
Artur Boruc,270,0.0,0.0,0.0,Poland,2006, FIFA World Cup
Ricardo,660,57.1,0.0,0.0,Portugal,2006, FIFA World Cup
Mohamed Saqr,270,33.3,0.0,0.0,Qatar,2006, WCQ — AFC (M)
Shay Given,900,60.0,0.0,0.0,Republic,2006, WCQ — UEFA (M)
