,NomDesClubs,lienClubDetails,SexeDuClub,divisionDuClub,linkDivisionDetail,DebutSaisonSave,DerniereSaisonSave,NombreDeCompetitionJoue,nombreDePremierePlace
0,Sunderland Ryhope Community Association FC,https://fbref.com/fr/equipes/aea3ecb9/historique/Stats-et-historique-de-Sunderland-Ryhope-Community-Association-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Sutton Athletic FC,https://fbref.com/fr/equipes/2b275f24/historique/Stats-et-historique-de-Sutton-Athletic-FC,H, -- no info -- ,pas de détails ,2019-2020,2020-2021,0,
0,Sutton Coldfield Town FC,https://fbref.com/fr/equipes/9384d0a4/historique/Stats-et-historique-de-Sutton-Coldfield-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Sutton United FC,https://fbref.com/fr/equipes/7ef53dcf/historique/Stats-et-historique-de-Sutton-United,H,EFL League Two,https://fbref.com/fr/comps/16/Statistiques-League-Two,2016-2017,2021-2022,6,1
0,Swaffham Town FC,https://fbref.com/fr/equipes/1d286764/historique/Stats-et-historique-de-Swaffham-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Swansea City AFC,https://fbref.com/fr/equipes/fb10988f/historique/Stats-et-historique-de-Swansea-City,H,EFL Championship,https://fbref.com/fr/comps/10/Statistiques-Championship,2002-2003,2021-2022,20,1
0,Swansea City AFC U23,https://fbref.com/fr/equipes/e4936888/historique/Stats-et-historique-de-Swansea-City-U23,H, -- no info -- ,pas de détails ,2016-2017,2019-2020,4,1
0,Swansea City Ladies FC,https://fbref.com/fr/equipes/0f31d5f3/historique/Stats-et-historique-de-Swansea-City-Women,F, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Swindon Supermarine FC,https://fbref.com/fr/equipes/ed3b57a3/historique/Stats-et-historique-de-Swindon-Supermarine-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Swindon Town FC,https://fbref.com/fr/equipes/1b295b25/historique/Stats-et-historique-de-Swindon-Town,H,EFL League Two,https://fbref.com/fr/comps/16/Statistiques-League-Two,1993-1994,2021-2022,21,2
0,Tadcaster Albion AFC,https://fbref.com/fr/equipes/885d3e68/historique/Stats-et-historique-de-Tadcaster-Albion-AFC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tadley Calleva FC,https://fbref.com/fr/equipes/d1ac93bf/historique/Stats-et-historique-de-Tadley-Calleva-FC,H, -- no info -- ,pas de détails ,2018-2019,2021-2022,0,
0,Takeley FC,https://fbref.com/fr/equipes/06f4de43/historique/Stats-et-historique-de-Takeley-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tamworth FC,https://fbref.com/fr/equipes/6711b681/historique/Stats-et-historique-de-Tamworth,H, -- no info -- ,pas de détails ,2006-2007,2021-2022,6,0
0,Taunton Town FC,https://fbref.com/fr/equipes/3842cbd0/historique/Stats-et-historique-de-Taunton-Town-FC,H, -- no info -- ,pas de détails ,2016-2017,2021-2022,0,0
0,Tavistock AFC,https://fbref.com/fr/equipes/ab9e500c/historique/Stats-et-historique-de-Tavistock-AFC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Team Northumbria FC,https://fbref.com/fr/equipes/24f2f3cc/historique/Stats-et-historique-de-Team-Northumbria-FC,H, -- no info -- ,pas de détails ,2017-2018,2018-2019,0,
0,Team Solent FC,https://fbref.com/fr/equipes/52ea1ae3/historique/Stats-et-historique-de-Team-Solent-FC,H, -- no info -- ,pas de détails ,2017-2018,2019-2020,0,
0,Teversal FC,https://fbref.com/fr/equipes/000589ed/historique/Stats-et-historique-de-Teversal-FC,H, -- no info -- ,pas de détails ,2018-2019,2018-2019,0,
0,Thackley FC,https://fbref.com/fr/equipes/05c0b0d4/historique/Stats-et-historique-de-Thackley-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Thame Rangers FC,https://fbref.com/fr/equipes/3bf9eea9/historique/Stats-et-historique-de-Thame-Rangers-FC,H, -- no info -- ,pas de détails ,2019-2020,2020-2021,0,
0,Thame United FC,https://fbref.com/fr/equipes/3fd10f76/historique/Stats-et-historique-de-Thame-United-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Thamesmead Town FC,https://fbref.com/fr/equipes/136b42b5/historique/Stats-et-historique-de-Thamesmead-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2018-2019,0,
0,Thatcham Town FC,https://fbref.com/fr/equipes/8b0a9f67/historique/Stats-et-historique-de-Thatcham-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Thetford Town FC,https://fbref.com/fr/equipes/a95ddbf0/historique/Stats-et-historique-de-Thetford-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Thornaby FC,https://fbref.com/fr/equipes/f4eb3e9b/historique/Stats-et-historique-de-Thornaby-FC,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
0,Thornbury Town FC,https://fbref.com/fr/equipes/1ff54516/historique/Stats-et-historique-de-Thornbury-Town-FC,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
0,Three Bridges FC,https://fbref.com/fr/equipes/a0263aa3/historique/Stats-et-historique-de-Three-Bridges-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Thurrock FC,https://fbref.com/fr/equipes/65608010/historique/Stats-et-historique-de-Thurrock-FC,H, -- no info -- ,pas de détails ,2017-2018,2017-2018,0,
0,Tilbury FC,https://fbref.com/fr/equipes/1f535bea/historique/Stats-et-historique-de-Tilbury-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tiverton Town FC,https://fbref.com/fr/equipes/3be23b97/historique/Stats-et-historique-de-Tiverton-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tividale FC,https://fbref.com/fr/equipes/c716a28c/historique/Stats-et-historique-de-Tividale-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tonbridge Angels FC,https://fbref.com/fr/equipes/50b284c9/historique/Stats-et-historique-de-Tonbridge-Angels-FC,H, -- no info -- ,pas de détails ,2016-2017,2021-2022,0,0
0,Tooting & Mitcham United FC,https://fbref.com/fr/equipes/8871589e/historique/Stats-et-historique-de-Tooting-and-Mitcham-United-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tooting Bec FC,https://fbref.com/fr/equipes/e06606a6/historique/Stats-et-historique-de-Tooting-Bec-FC,H, -- no info -- ,pas de détails ,2019-2020,2019-2020,0,
