Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Javi-Lopez,es ESP,Alavés,19-318,DF,2002,105.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,76.9,1.0,0.0,0.0,29.2,24.0,3.0,2.0,50.0
Unai-Lopez,es ESP,Rayo Vallecano,26-016,MF,1995,415.0,10.0,4.0,0.0,0.0,1.0,0.22,0.43,33.3,6.0,265.0,82.0,4.0,0.0,0.0,27.7,94.0,8.0,3.0,33.33333333333333
Anthony-Lozano,hn HON,Cádiz,28-204,"FW,MF",1993,624.0,11.0,8.0,4.0,0.58,3.0,0.43,1.01,29.2,24.0,75.0,65.8,3.0,1.0,0.0,24.4,78.0,3.0,3.0,75.0
Jose-Luis-Gaya,es ESP,Valencia,26-174,DF,1995,756.0,9.0,9.0,2.0,0.24,3.0,0.36,0.48,40.0,10.0,268.0,74.0,14.0,0.0,0.0,28.7,108.0,17.0,8.0,44.44444444444444
Jose-Luis-Morales,es ESP,Levante,34-115,"FW,MF",1987,1013.0,13.0,11.0,4.0,0.36,0.0,0.0,0.8,50.0,18.0,203.0,69.3,5.0,0.0,0.0,18.8,181.0,9.0,7.0,70.0
Florentino-Luis,pt POR,Getafe,22-088,MF,1999,527.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,87.6,16.0,1.0,0.0,29.0,138.0,23.0,17.0,70.83333333333334
Darwin-Machis,ve VEN,Granada,28-281,"FW,MF",1993,466.0,8.0,6.0,0.0,0.0,0.0,0.0,0.39,22.2,9.0,85.0,62.5,8.0,0.0,0.0,26.7,60.0,6.0,4.0,57.14285714285714
Pablo-Maffeo,es ESP,Mallorca,24-126,DF,1997,927.0,11.0,11.0,1.0,0.1,3.0,0.29,0.29,50.0,6.0,291.0,68.3,28.0,3.0,0.0,34.2,120.0,29.0,21.0,70.0
Nemanja-Maksimovic,rs SRB,Getafe,26-293,MF,1995,1121.0,13.0,13.0,0.0,0.0,0.0,0.0,0.24,23.1,13.0,267.0,78.3,29.0,5.0,0.0,27.4,259.0,28.0,18.0,62.06896551724138
Hugo-Mallo,es ESP,Celta Vigo,30-146,DF,1991,931.0,11.0,11.0,0.0,0.0,1.0,0.1,0.1,12.5,8.0,495.0,75.9,13.0,6.0,0.0,38.9,144.0,26.0,14.0,51.85185185185185
