_id,player,captain,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ab88307f48ce0ab5fc,Junior-Moraes,Oleksandr Karavayev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
618f94ab88307f48ce0ab5fd,Junior-Moraes,Yevhen Halchuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab5fe,Junior-Morais,Alin Dobrosavlevici,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab5ff,Andre-Moreira,Lica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab600,Andre-Moreira,Jonathan Sabbatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab601,Jeremy-Morel,Mahdi Camara,0.0,0.0,0.0,12.0,2.0,2.0,1.0,0.5
618f94ab88307f48ce0ab602,Alfredo-Morelos,Sebastien Thill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
618f94ab88307f48ce0ab603,Valtteri-Moren,Hannes Van der Bruggen,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.67
618f94ab88307f48ce0ab604,Gonzalo-Montiel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
618f94ab88307f48ce0ab605,Alexander-Milosevic,Tim Bjorkstrom,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab606,Milson,Osama Rashid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab607,Zaw-Min-Tun,Kouch Sokumpheak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab608,Yerry-Mina,Troy Deeney,0.0,2.0,0.0,11.0,4.0,0.0,1.0,1.0
618f94ab88307f48ce0ab609,Takumi-Minamino,Pepe,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
618f94ab88307f48ce0ab60a,Lucas-Mineiro,Danilo Barcelos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab60b,Stefano-Minelli,Michele Troiano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab60c,Lin-Ming-wei,Wu Chun-ching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab60d,Tyrone-Mings,Jamaal Lascelles,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.5
618f94ab88307f48ce0ab60e,Marko-Miric,David Hubert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab60f,Bogdan-Mitrea,Alexandru Paun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab610,Alexandru-Mitrita,Brad Guzan,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab611,Alexandru-Mitrita,Ahmed Assiri,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
618f94ab88307f48ce0ab612,Matej-Mitrovic,Necip Uysal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab613,Maximilian-Mittelstadt,Dedryck Boyata,0.1,0.1,0.1,7.7,1.1,1.2,1.4,0.4
618f94ab88307f48ce0ab614,Maren-Mjelde,Jasmine Matthews,1.0,0.0,0.0,8.0,3.0,1.0,1.0,1.0
618f94ab88307f48ce0ab615,Henrikh-Mkhitaryan,Marek Suchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab616,Henrikh-Mkhitaryan,Igor Akinfeev,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
