_id,player,year,comp,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ac88307f48ce0b126b,Jakub-Moder,2021,FA Cup,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
618f94ac88307f48ce0b126c,Luka-Modric,2014,FIFA World Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
618f94ac88307f48ce0b126d,Mostafa-Mohamed,2020,Africa Cup of Nations qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b126e,Johan-Mojica,2020,Champions Lg,0.0,0.0,0.0,3.0,0.5,0.0,0.17,0.67
618f94ac88307f48ce0b126f,Relebogile-Mokhuoane,2016,Premier Division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1270,Teboho-Mokoena,2021,WCQ — CAF (M),0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.88
618f94ac88307f48ce0b1271,Michel-Moller,2021,U17 Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1272,Jon-Moncayola,2020,La Liga,0.0,0.2,0.0,16.13,2.03,0.2,1.4,0.42
618f94ac88307f48ce0b1273,Juan-Montenegro,2018,Primera División,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
618f94ac88307f48ce0b1274,Juan-Montenegro,2020,Primera División,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
618f94ac88307f48ce0b1275,Ronny-Montero,2021,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1276,James-Milner,2014,Euro Qualifying,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0
618f94ac88307f48ce0b1277,Song-Minkyu,2021,WCQ — AFC (M),0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.86
618f94ac88307f48ce0b1278,Luis-Miquissone,2016,Africa Cup of Nations qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
618f94ac88307f48ce0b1279,Jorge-Miramon,2017,Segunda División,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.51
618f94ac88307f48ce0b127a,Anton-Miranchuk,2021,Premier League,0.0,0.17,0.17,0.0,0.0,0.25,0.0,0.79
618f94ac88307f48ce0b127b,Josip-Misic,2020,Super League,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.55
618f94ac88307f48ce0b127c,Ivanildo-Misidjan,2021,WCQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b127d,Alexandru-Mitrita,2021,Super League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
618f94ac88307f48ce0b127e,Henrikh-Mkhitaryan,2009,WCQ — UEFA (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
618f94ac88307f48ce0b127f,Henrikh-Mkhitaryan,2017,Champions Lg,0.0,0.75,0.0,0.0,0.0,0.75,0.0,1.0
618f94ac88307f48ce0b1280,Thamsanqa-Mkhize,2018,Premier Division,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.46
618f94ac88307f48ce0b1281,Aleksandar-Mitrovic,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1282,Kingsley-Michael,2018,Serie B,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.53
618f94ac88307f48ce0b1283,Alexander-Michel,2016,Superettan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
618f94ac88307f48ce0b1284,Zaher-Midani,2019,WCQ — AFC (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b1285,Milan-Milanovic,2014,Coppa Italia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1286,Arkadiusz-Milik,2018,UEFA Nations League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b1287,George-Miller,2021,Championship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
618f94ac88307f48ce0b1288,Roderick-Miller,2021,Gold Cup,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.5
618f94ac88307f48ce0b1289,Mark-Milligan,2016,WCQ — AFC (M),0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.79
618f94ac88307f48ce0b128a,Wesley-Moraes,2019,Europa Lg,0.0,1.0,0.0,11.5,1.0,0.0,0.0,0.5
618f94ac88307f48ce0b128b,Vlad-Morar,2020,Liga I,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.48
618f94ac88307f48ce0b128c,Thapelo-Morena,2015,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
618f94ac88307f48ce0b128d,Alberto-Moreno,2015,Premier League,0.0,0.14,0.03,0.0,0.0,1.33,0.0,0.62
618f94ac88307f48ce0b128e,Ivan-Monzon,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b128f,Morato,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b1290,Sascha-Mockenhaupt,2020,3. Liga,0.0,0.0,0.06,0.0,0.0,0.18,0.0,0.56
618f94ac88307f48ce0b1291,Pavel-Mogilevets,2014,Champions Lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b1292,Vasile-Mogos,2017,Serie B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
618f94ac88307f48ce0b1293,Vasile-Mogos,2018,Serie B,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.46
618f94ac88307f48ce0b1294,Robert-Moldoveanu,2020,Liga I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
618f94ac88307f48ce0b1295,Salvatore-Molina,2014,Serie A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
618f94ac88307f48ce0b1296,Quirin-Moll,2016,3. Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
618f94ac88307f48ce0b1297,Thabang-Monare,2016,Premier Division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
618f94ac88307f48ce0b1298,Francisco-Montero,2019,La Liga,0.0,0.0,0.0,2.36,0.29,0.36,0.43,0.61
618f94ac88307f48ce0b1299,Alexander-Milosevic,2019,Euro Qualifying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b129a,Stefan-Milosevic,2017,SuperLiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
618f94ac88307f48ce0b129b,Nikola-Mitrovic,2015,Champions Lg,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b129c,Jonas-Mkude,2018,Africa Cup of Nations qualification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b129d,Filip-Mladenovic,2021,Europa Lg,0.0,0.0,0.2,7.2,0.8,1.0,1.2,0.7
618f94ac88307f48ce0b129e,Omenuke-Mfulu,2015,Ligue 1,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.42
618f94ac88307f48ce0b129f,Matt-Miazga,2016,Premier League,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5
618f94ac88307f48ce0b12a0,Fredrik-Midtsjo,2016,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
618f94ac88307f48ce0b12a1,Maxime-Mignon,2020,First Division B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
618f94ac88307f48ce0b12a2,Nikolay-Mihaylov,2015,Süper Lig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
618f94ac88307f48ce0b12a3,Saulius-Mikoliunas,2006,Champions Lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
618f94ac88307f48ce0b12a4,Nemanja-Miletic,2015,SuperLiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
618f94ac88307f48ce0b12a5,Dejan-Milicevic,2021,SuperLiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
618f94ac88307f48ce0b12a6,Arkadiusz-Milik,2015,Champions Lg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b12a7,Eder-Militao,2018,Champions Lg,0.0,0.4,0.0,2.8,0.7,1.4,0.5,0.9
618f94ac88307f48ce0b12a8,Luis-Milla,2017,Copa del Rey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
618f94ac88307f48ce0b12a9,Liam-Millar,2018,PL2 — Div. 1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.45
618f94ac88307f48ce0b12aa,Joseph-Mills,2019,EFL Cup,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
618f94ac88307f48ce0b12ab,Manny-Monthe,2017,League Two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
618f94ac88307f48ce0b12ac,Martin-Montoya,2015,Copa del Rey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b12ad,Stuart-Moore,2014,FA Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
618f94ac88307f48ce0b12ae,Taylor-Moore,2017,League One,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.53
